-14,  3, -5,  7, -9, 11,-13,  2, -4,  6, -8, 10,-12, 14, -3,  5, -7,  9,-11, 13, -2,  4, -6,  8,-10, 12,
-13, 14,  4, -6,  8,-10, 12, -1,  3, -5,  7, -9, 11, 13,-14, -4,  6, -8, 10,-12,  1, -3,  5, -7,  9,-11,
 12, -1,-14,  5, -7,  9,-11, 13, -2,  4, -6,  8,-10,-12,  1, 14, -5,  7, -9, 11,-13,  2, -4,  6, -8, 10,
-11, 13, -2, 14,  6, -8, 10,-12,  1, -3,  5, -7,  9, 11,-13,  2,-14, -6,  8,-10, 12, -1,  3, -5,  7, -9,
 10,-12,  1, -3,-14,  7, -9, 11,-13,  2, -4,  6, -8,-10, 12, -1,  3, 14, -7,  9,-11, 13, -2,  4, -6,  8,
 -9, 11,-13,  2, -4, 14,  8,-10, 12, -1,  3, -5,  7,  9,-11, 13, -2,  4,-14, -8, 10,-12,  1, -3,  5, -7,
  8,-10, 12, -1,  3, -5,-14,  9,-11, 13, -2,  4, -6, -8, 10,-12,  1, -3,  5, 14, -9, 11,-13,  2, -4,  6,
 -7,  9,-11, 13, -2,  4, -6, 14, 10,-12,  1, -3,  5,  7, -9, 11,-13,  2, -4,  6,-14,-10, 12, -1,  3, -5,
  6, -8, 10,-12,  1, -3,  5, -7,-14, 11,-13,  2, -4, -6,  8,-10, 12, -1,  3, -5,  7, 14,-11, 13, -2,  4,
 -5,  7, -9, 11,-13,  2, -4,  6, -8, 14, 12, -1,  3,  5, -7,  9,-11, 13, -2,  4, -6,  8,-14,-12,  1, -3,
  4, -6,  8,-10, 12, -1,  3, -5,  7, -9,-14, 13, -2, -4,  6, -8, 10,-12,  1, -3,  5, -7,  9, 14,-13,  2,
 -3,  5, -7,  9,-11, 13, -2,  4, -6,  8,-10, 14,  1,  3, -5,  7, -9, 11,-13,  2, -4,  6, -8, 10,-14, -1,
  2, -4,  6, -8, 10,-12,  1, -3,  5, -7,  9,-11,-14, -2,  4, -6,  8,-10, 12, -1,  3, -5,  7, -9, 11, 14,
  1, -2,  3, -4,  5, -6,  7, -8,  9,-10, 11,-12, 13, -1,  2, -3,  4, -5,  6, -7,  8, -9, 10,-11, 12,-13
