-12,  3, -5,  7, -9, 11, -2,  4, -6,  8,-10, 12, -3,  5, -7,  9,-11,  2, -4,  6, -8, 10,
-11, 12,  4, -6,  8,-10,  1, -3,  5, -7,  9, 11,-12, -4,  6, -8, 10, -1,  3, -5,  7, -9,
 10, -1,-12,  5, -7,  9,-11,  2, -4,  6, -8,-10,  1, 12, -5,  7, -9, 11, -2,  4, -6,  8,
 -9, 11, -2, 12,  6, -8, 10, -1,  3, -5,  7,  9,-11,  2,-12, -6,  8,-10,  1, -3,  5, -7,
  8,-10,  1, -3,-12,  7, -9, 11, -2,  4, -6, -8, 10, -1,  3, 12, -7,  9,-11,  2, -4,  6,
 -7,  9,-11,  2, -4, 12,  8,-10,  1, -3,  5,  7, -9, 11, -2,  4,-12, -8, 10, -1,  3, -5,
  6, -8, 10, -1,  3, -5,-12,  9,-11,  2, -4, -6,  8,-10,  1, -3,  5, 12, -9, 11, -2,  4,
 -5,  7, -9, 11, -2,  4, -6, 12, 10, -1,  3,  5, -7,  9,-11,  2, -4,  6,-12,-10,  1, -3,
  4, -6,  8,-10,  1, -3,  5, -7,-12, 11, -2, -4,  6, -8, 10, -1,  3, -5,  7, 12,-11,  2,
 -3,  5, -7,  9,-11,  2, -4,  6, -8, 12,  1,  3, -5,  7, -9, 11, -2,  4, -6,  8,-12, -1,
  2, -4,  6, -8, 10, -1,  3, -5,  7, -9,-12, -2,  4, -6,  8,-10,  1, -3,  5, -7,  9, 12,
  1, -2,  3, -4,  5, -6,  7, -8,  9,-10, 11, -1,  2, -3,  4, -5,  6, -7,  8, -9, 10,-11
