-10,  3, -5,  7, -9,  2, -4,  6, -8, 10, -3,  5, -7,  9, -2,  4, -6,  8,
 -9, 10,  4, -6,  8, -1,  3, -5,  7,  9,-10, -4,  6, -8,  1, -3,  5, -7,
  8, -1,-10,  5, -7,  9, -2,  4, -6, -8,  1, 10, -5,  7, -9,  2, -4,  6,
 -7,  9, -2, 10,  6, -8,  1, -3,  5,  7, -9,  2,-10, -6,  8, -1,  3, -5,
  6, -8,  1, -3,-10,  7, -9,  2, -4, -6,  8, -1,  3, 10, -7,  9, -2,  4,
 -5,  7, -9,  2, -4, 10,  8, -1,  3,  5, -7,  9, -2,  4,-10, -8,  1, -3,
  4, -6,  8, -1,  3, -5,-10,  9, -2, -4,  6, -8,  1, -3,  5, 10, -9,  2,
 -3,  5, -7,  9, -2,  4, -6, 10,  1,  3, -5,  7, -9,  2, -4,  6,-10, -1,
  2, -4,  6, -8,  1, -3,  5, -7,-10, -2,  4, -6,  8, -1,  3, -5,  7, 10,
  1, -2,  3, -4,  5, -6,  7, -8,  9, -1,  2, -3,  4, -5,  6, -7,  8, -9
