-16,-15, 14,-13, 12,-11, 10, -9,  8, -7,  6, -5,  4, -3,  2,  1,
  3, 16, -1, 15,-14, 13,-12, 11,-10,  9, -8,  7, -6,  5, -4, -2,
 -5,  4,-16, -2,  1,-15, 14,-13, 12,-11, 10, -9,  8, -7,  6,  3,
  7, -6,  5, 16, -3,  2, -1, 15,-14, 13,-12, 11,-10,  9, -8, -4,
 -9,  8, -7,  6,-16, -4,  3, -2,  1,-15, 14,-13, 12,-11, 10,  5,
 11,-10,  9, -8,  7, 16, -5,  4, -3,  2, -1, 15,-14, 13,-12, -6,
-13, 12,-11, 10, -9,  8,-16, -6,  5, -4,  3, -2,  1,-15, 14,  7,
 15,-14, 13,-12, 11,-10,  9, 16, -7,  6, -5,  4, -3,  2, -1, -8,
 -2,  1,-15, 14,-13, 12,-11, 10,-16, -8,  7, -6,  5, -4,  3,  9,
  4, -3,  2, -1, 15,-14, 13,-12, 11, 16, -9,  8, -7,  6, -5,-10,
 -6,  5, -4,  3, -2,  1,-15, 14,-13, 12,-16,-10,  9, -8,  7, 11,
  8, -7,  6, -5,  4, -3,  2, -1, 15,-14, 13, 16,-11, 10, -9,-12,
-10,  9, -8,  7, -6,  5, -4,  3, -2,  1,-15, 14,-16,-12, 11, 13,
 12,-11, 10, -9,  8, -7,  6, -5,  4, -3,  2, -1, 15, 16,-13,-14,
-14, 13,-12, 11,-10,  9, -8,  7, -6,  5, -4,  3, -2,  1,-16, 15,
 16, 15,-14, 13,-12, 11,-10,  9, -8,  7, -6,  5, -4,  3, -2, -1,
 -3,-16,  1,-15, 14,-13, 12,-11, 10, -9,  8, -7,  6, -5,  4,  2,
  5, -4, 16,  2, -1, 15,-14, 13,-12, 11,-10,  9, -8,  7, -6, -3,
 -7,  6, -5,-16,  3, -2,  1,-15, 14,-13, 12,-11, 10, -9,  8,  4,
  9, -8,  7, -6, 16,  4, -3,  2, -1, 15,-14, 13,-12, 11,-10, -5,
-11, 10, -9,  8, -7,-16,  5, -4,  3, -2,  1,-15, 14,-13, 12,  6,
 13,-12, 11,-10,  9, -8, 16,  6, -5,  4, -3,  2, -1, 15,-14, -7,
-15, 14,-13, 12,-11, 10, -9,-16,  7, -6,  5, -4,  3, -2,  1,  8,
  2, -1, 15,-14, 13,-12, 11,-10, 16,  8, -7,  6, -5,  4, -3, -9,
 -4,  3, -2,  1,-15, 14,-13, 12,-11,-16,  9, -8,  7, -6,  5, 10,
  6, -5,  4, -3,  2, -1, 15,-14, 13,-12, 16, 10, -9,  8, -7,-11,
 -8,  7, -6,  5, -4,  3, -2,  1,-15, 14,-13,-16, 11,-10,  9, 12,
 10, -9,  8, -7,  6, -5,  4, -3,  2, -1, 15,-14, 16, 12,-11,-13,
-12, 11,-10,  9, -8,  7, -6,  5, -4,  3, -2,  1,-15,-16, 13, 14,
 14,-13, 12,-11, 10, -9,  8, -7,  6, -5,  4, -3,  2, -1, 16,-15
